iter	MultiClass	Accuracy
560	-0.8829953013	0.6434002211
561	-0.8828358209	0.643408513
562	-0.8826750276	0.6434068546
563	-0.8825105721	0.6434145937
564	-0.8823539248	0.6434179104
565	-0.8821832504	0.6434101714
566	-0.8820308181	0.6434212272
567	-0.8818670536	0.6434201216
568	-0.8817088861	0.6434184632
569	-0.8815554174	0.6434212272
570	-0.8813979409	0.6434245439
571	-0.8812376313	0.6434129353
572	-0.8810819514	0.6434134881
573	-0.8809266169	0.6434140409
574	-0.8807819928	0.6434256495
575	-0.8806245163	0.6434206744
576	-0.8804535655	0.6434306247
577	-0.8803023079	0.643435047
578	-0.8801509812	0.6434461028
579	-0.8799980652	0.6434566059
580	-0.8798466003	0.6434472084
581	-0.8796924406	0.6434510779
582	-0.8795281233	0.6434472084
583	-0.8793602819	0.6434538419
584	-0.8792143449	0.6434665561
585	-0.879072623	0.6434737424
586	-0.8789116915	0.6434709784
587	-0.878761194	0.6434825871
588	-0.8786118712	0.6434875622
589	-0.8784577114	0.643488115
590	-0.8783124655	0.6434953013
591	-0.878167565	0.6434964069
592	-0.8780182421	0.6435179657
593	-0.8778629768	0.6435190713
594	-0.8777233278	0.6435096739
595	-0.8775951493	0.6435135434
596	-0.877467869	0.6435107794
597	-0.8773215865	0.6435185185
598	-0.8771831122	0.6435207297
599	-0.8770543118	0.6435179657
600	-0.8769163903	0.6435312327
601	-0.8767754284	0.6435273632
602	-0.8766317026	0.643527916
603	-0.8764915699	0.6435273632
604	-0.8763641515	0.6435417358
605	-0.876233969	0.6435301271
606	-0.8760865119	0.6435356551
607	-0.8759391238	0.6435400774
608	-0.8758171642	0.6435489221
609	-0.8756880182	0.6435478165
610	-0.875578911	0.6435461581
611	-0.8754422333	0.6435533444
612	-0.8753109453	0.6435594251
613	-0.8751887092	0.643564953
614	-0.8750475401	0.6435666114
615	-0.8749239912	0.6435655058
616	-0.8747953289	0.6435765616
617	-0.8746645937	0.6435666114
618	-0.8745410448	0.6435743505
619	-0.874405749	0.6435660586
620	-0.8742810945	0.643567717
621	-0.8741658375	0.6435699281
622	-0.874055141	0.6435765616
623	-0.8739291045	0.6435721393
624	-0.8738101161	0.6435787728
625	-0.8736849088	0.6435815368
626	-0.8735638474	0.643580984
627	-0.8734372582	0.6435749033
628	-0.8733146766	0.6435787728
629	-0.8731912659	0.6435837479
630	-0.87307822	0.6435931454
631	-0.8729541183	0.6435986733
632	-0.8728410724	0.643594251
633	-0.8727330017	0.6435970149
634	-0.8726092454	0.6435925926
635	-0.872496476	0.6435964621
636	-0.8723793532	0.6435936982
637	-0.8722717662	0.6435953566
638	-0.8721514649	0.643591487
639	-0.8720305417	0.6435931454
640	-0.8719185323	0.64360199
641	-0.8718014096	0.6435959093
642	-0.8716819375	0.6435997789
643	-0.871576838	0.6435953566
644	-0.8714714621	0.6435920398
645	-0.8713503317	0.6435964621
646	-0.8712415008	0.6435909342
647	-0.8711288004	0.6435925926
648	-0.8710200387	0.6435920398
649	-0.8709110006	0.6435936982
650	-0.8708045191	0.64360199
651	-0.8707089552	0.6435986733
652	-0.870606136	0.6436042012
653	-0.8704983416	0.6435975677
654	-0.8703901327	0.6435986733
655	-0.8702824765	0.6436102819
656	-0.8701814538	0.6436257601
657	-0.8700732449	0.6436296296
658	-0.8699793394	0.6436185738
659	-0.8698673991	0.6436301824
660	-0.8697626451	0.6436241017
661	-0.8696601714	0.6436257601
662	-0.8695695135	0.6436307352
663	-0.8694586788	0.6436252073
664	-0.8693622167	0.6436235489
665	-0.8692617468	0.6436279713
666	-0.8691608624	0.6436252073
667	-0.869061429	0.643628524
668	-0.8689613046	0.6436362631
669	-0.8688667772	0.6436428966
670	-0.8687726645	0.6436489773
671	-0.8686669431	0.6436489773
672	-0.8685736595	0.643657822
673	-0.8684783029	0.6436594804
674	-0.8683776949	0.6436661139
675	-0.8682794362	0.6436627971
676	-0.8681896075	0.6436672195
677	-0.8680990879	0.643657822
678	-0.8680155473	0.6436506357
679	-0.8679224019	0.6436622443
680	-0.8678278054	0.6436522941
681	-0.8677289248	0.6436528469
682	-0.867627073	0.6436572692
683	-0.8675337894	0.6436627971
684	-0.8674386401	0.6436672195
685	-0.8673443201	0.6436694306
686	-0.867262576	0.6436567164
687	-0.8671744748	0.6436611388
688	-0.8670769071	0.6436655611
689	-0.8669868712	0.6436622443
690	-0.8668983554	0.643660586
691	-0.8668208264	0.6436567164
692	-0.8667350746	0.6436699834
693	-0.8666565782	0.6436639027
694	-0.8665717938	0.643673853
695	-0.8664952322	0.6436733002
696	-0.8664299337	0.6436727474
697	-0.8663492261	0.6436838032
698	-0.8662655473	0.6436804865
699	-0.866180832	0.6436926479
700	-0.8661048922	0.6436882255
701	-0.8660197623	0.6436893311
702	-0.8659407131	0.6437119956
703	-0.8658689193	0.6436965174
704	-0.865789801	0.6436998342
705	-0.8657222222	0.6437009397
706	-0.8656518795	0.6436954118
707	-0.8655650912	0.6436915423
708	-0.8654877004	0.6436981758
709	-0.8654172195	0.6436965174
710	-0.8653460475	0.6436970702
711	-0.8652691404	0.6436992814
712	-0.8651842178	0.6436992814
713	-0.8651106965	0.6437048093
714	-0.8650311636	0.64371089
715	-0.8649545329	0.6437175235
716	-0.8648818408	0.6437131012
717	-0.8648091487	0.6437025981
718	-0.8647340381	0.6437009397
719	-0.8646544362	0.6437020453
720	-0.8645760088	0.6437086788
721	-0.8645115395	0.6437070205
722	-0.864432283	0.6436992814
723	-0.8643622858	0.6437053621
724	-0.8642898701	0.643713654
725	-0.8642191128	0.643708126
726	-0.8641460752	0.6437020453
727	-0.8640872029	0.6437070205
728	-0.8640208679	0.6437025981
729	-0.8639473466	0.6437064677
730	-0.8638770039	0.643708126
731	-0.8638027916	0.6437053621
732	-0.8637487562	0.6437014925
733	-0.8636744057	0.6437059149
734	-0.8636009536	0.6437103372
735	-0.8635257048	0.6437263682
736	-0.8634535655	0.6437208402
737	-0.8634054726	0.6437230514
738	-0.8633345771	0.6437230514
739	-0.8632710752	0.6437147595
740	-0.8631919569	0.6437164179
741	-0.8631310116	0.643713654
742	-0.8630702045	0.6437125484
743	-0.8630116086	0.6437169707
744	-0.8629520453	0.6437252626
745	-0.8628876451	0.6437258154
746	-0.8628175788	0.6437158651
747	-0.8627558043	0.6437153123
748	-0.8626876727	0.6437230514
749	-0.862620785	0.6437175235
750	-0.8625511332	0.6437180763
751	-0.8624929519	0.6437219458
752	-0.8624351852	0.6437208402
753	-0.862383361	0.6437208402
754	-0.8623061083	0.6437147595
755	-0.8622447485	0.6437175235
756	-0.8621835959	0.6437180763
757	-0.8621218905	0.6437252626
758	-0.8620534826	0.6437230514
759	-0.8619973742	0.6437169707
760	-0.8619379491	0.643724157
761	-0.8618746545	0.6437285793
762	-0.8618214483	0.6437390824
763	-0.861752073	0.6437352128
764	-0.8616988668	0.6437407407
765	-0.8616475954	0.6437457159
766	-0.8615941128	0.6437473742
767	-0.8615389718	0.6437352128
768	-0.8614847291	0.6437363184
769	-0.8614436153	0.6437368712
770	-0.8613793532	0.6437368712
771	-0.8613255252	0.6437396352
772	-0.8612591211	0.6437385296
773	-0.8612056385	0.6437407407
774	-0.8611517413	0.6437385296
775	-0.8610912797	0.643737424
776	-0.8610254975	0.6437313433
777	-0.860976921	0.6437379768
778	-0.8609174268	0.6437435047
779	-0.860869403	0.6437412935
780	-0.8608182698	0.6437396352
781	-0.8607679657	0.6437418463
782	-0.8607157269	0.6437368712
783	-0.8606694997	0.6437484798
784	-0.8606216142	0.6437495854
785	-0.8605675788	0.6437490326
786	-0.8605149254	0.643747927
787	-0.8604579878	0.643750691
788	-0.8604130735	0.6437584301
789	-0.8603530956	0.6437595357
790	-0.8603004422	0.6437523494
791	-0.8602535931	0.6437584301
792	-0.8602188364	0.6437589829
793	-0.8601698452	0.6437556661
794	-0.860115948	0.6437645108
795	-0.8600579049	0.6437578773
796	-0.8600088447	0.6437551133
797	-0.8599557076	0.6437589829
798	-0.8599056108	0.6437667219
799	-0.8598550304	0.6437622996
800	-0.8598005113	0.6437628524
801	-0.8597515202	0.6437694859
802	-0.859699005	0.6437650636
803	-0.8596521559	0.6437689331
804	-0.8595964621	0.6437667219
805	-0.8595456053	0.6437683803
806	-0.8594976506	0.6437755666
807	-0.8594478994	0.643774461
808	-0.8594122443	0.643777225
809	-0.8593597291	0.6437822001
